Departure,Return,Departure station,Return station,Covered distance (m),Duration (sec.)
2024-09-01 23:57:23,2024-09-02 00:08:24,002 Comédie,012 Boutonnet,2227.0,653
2024-09-01 23:55:08,2024-09-02 00:03:28,011 Plan Cabanes,025 Nouveau Saint-Roch,1343.0,496
2024-09-01 23:53:08,2024-09-02 01:45:52,017 Médiathèque Emile Zola,017 Médiathèque Emile Zola,5660.0,6756
2024-09-01 23:52:16,2024-09-02 01:23:33,017 Médiathèque Emile Zola,029 Richter,5031.0,5469
2024-09-01 23:51:43,2024-09-01 23:57:33,010 Rondelet,011 Plan Cabanes,971.0,346
2024-09-01 23:50:02,2024-09-02 00:04:16,012 Boutonnet,046 Père Soulas,3156.0,849
2024-09-01 23:47:35,2024-09-02 00:34:40,006 Place Albert 1er - St Charles,010 Rondelet,5686.0,2817
2024-09-01 23:46:51,2024-09-02 00:16:50,021 Port Marianne,021 Port Marianne,3589.0,1792
2024-09-01 23:46:40,2024-09-02 00:19:26,037 FacdesSciences,037 FacdesSciences,4177.0,1958
2024-09-01 23:46:40,2024-09-02 00:19:53,037 FacdesSciences,037 FacdesSciences,4719.0,1985
2024-09-01 23:46:12,2024-09-02 00:16:55,021 Port Marianne,021 Port Marianne,3544.0,1836
2024-09-01 23:45:31,2024-09-02 00:23:49,037 FacdesSciences,037 FacdesSciences,4494.0,2290
2024-09-01 23:45:24,2024-09-01 23:45:59,037 FacdesSciences,037 FacdesSciences,0.0,31
2024-09-01 23:44:59,2024-09-02 00:19:47,037 FacdesSciences,037 FacdesSciences,4498.0,2080
2024-09-01 23:44:48,2024-09-02 00:55:35,037 FacdesSciences,030 Charles Flahault,6836.0,4239
2024-09-01 23:43:37,2024-09-02 00:10:43,012 Boutonnet,038 Fac de Lettres,3150.0,1622
2024-09-01 23:43:16,2024-09-01 23:43:37,037 FacdesSciences,037 FacdesSciences,0.0,16
2024-09-01 23:42:57,2024-09-02 00:10:36,012 Boutonnet,038 Fac de Lettres,3093.0,1656
2024-09-01 23:42:50,2024-09-02 00:19:59,037 FacdesSciences,037 FacdesSciences,5039.0,2220
2024-09-01 23:42:48,2024-09-02 00:20:08,037 FacdesSciences,037 FacdesSciences,4676.0,2230
2024-09-01 23:42:08,2024-09-02 00:50:05,037 FacdesSciences,012 Boutonnet,6350.0,4069
2024-09-01 23:32:06,2024-09-02 00:02:51,021 Port Marianne,057 Saint-Guilhem,3401.0,1840
2024-09-01 23:29:11,2024-09-02 00:02:47,021 Port Marianne,057 Saint-Guilhem,3485.0,2011
2024-09-01 23:27:35,2024-09-01 23:28:36,021 Port Marianne,021 Port Marianne,8.0,58
2024-09-01 23:25:55,2024-09-01 23:49:18,001 Rue Jules Ferry - Gare Saint-Roch,046 Père Soulas,3261.0,1398
2024-09-01 23:25:38,2024-09-01 23:32:19,006 Place Albert 1er - St Charles,012 Boutonnet,974.0,396
2024-09-01 23:25:38,2024-09-02 00:06:15,046 Père Soulas,037 FacdesSciences,3812.0,2430
2024-09-01 23:25:25,2024-09-01 23:32:21,006 Place Albert 1er - St Charles,012 Boutonnet,898.0,412
2024-09-01 23:25:02,2024-09-02 00:06:38,046 Père Soulas,037 FacdesSciences,3857.0,2488
2024-09-01 23:23:16,2024-09-01 23:39:46,021 Port Marianne,018 Nombre d'Or,2152.0,986
2024-09-01 23:22:36,2024-09-01 23:22:57,021 Port Marianne,021 Port Marianne,0.0,17
